SEND_REASON,CYCLE_COUNT,MIN_VOLTAGE,MAX_VOLTAGE,PROGRAM_NO,TEMP,FINAL_TEMP,HEATER_ON_TIME,ENV_TEMP,INIT_WATER_TEMP,SPIN,SPIN_EXECUTED,DIRT_LEVEL,DELAY_TIME,AUX_FUNC_MSB_H,AUX_FUNC_MSB_L,AUX_FUNC_LSB_H,AUX_FUNC_LSB_L,UNBALANCED_LOAD,SPIN_TRY_COUNT,LOAD_VALVE_MEASURE,VALVE_OPEN_COUNT,EXTRA_RINSE_COUNT,CHILD_LOCK,EFFECTIVE_PROG_TIME,ERROR_5,ERROR_4,ERROR_3,ERROR_2,ERROR_1,INFO,SERVICE_MODE_ENTER_COUNT,DET_DOSE,SOFT_DOSE,SECURITY_RISK,VISIBLE_ERROR_1,VISIBLE_ERROR_2,VISIBLE_ERROR_3,VISIBLE_ERROR_4,VISIBLE_ERROR_5,HIDDEN_ERRORS_1,HIDDEN_ERRORS_2,PRECAUTIONS_1,PRECAUTIONS_2,WARNINGS,HEATER_TO_PUMP_DURATION,HEATER_DURATION_EXCEPT_HEATING_STEP,HEATER_HYSTERESIS_COUNT,MAIN_WASH_VALVE_OPEN_COUNT,MAIN_WASH_START_TEMP,MAIN_WASH_END_TEMP,MAIN_WASH_100RPM_ATTEMPT_COUNT,MAIN_WASH_ACCELERATION,MAIN_WASH_MAX_RPM,MAIN_WASH_MAX_RPM_DURATION,FIRST_RINSE_VALVE_OPEN_COUNT,FIRST_RINSE_START_TEMP,FIRST_RINSE_END_TEMP,FIRST_RINSE_100RPM_ATTEMPT_COUNT,FIRST_RINSE_ACCELERATION,FIRST_RINSE_MAX_RPM,FIRST_RINSE_MAX_RPM_DURATION,SECOND_RINSE_VALVE_OPEN_COUNT,SECOND_RINSE_START_TEMP,SECOND_RINSE_END_TEMP,SECOND_RINSE_100RPM_ATTEMP_COUNT,SECOND_RINSE_ACCELERATION,SECOND_RINSE_MAX_RPM,SECOND_RINSE_MAX_RPM_DURATION,EXTRA_RINSE_VALVE_OPEN_COUNT,EXTRA_RINSE_START_TEMP,EXTRA_RINSE_END_TEMP,EXTRA_RINSE_100RPM_TRY_COUNT,EXTRA_RINSE_ACCELERATION,EXTRA_RINSE_MAX_RPM,EXTRA_RINSE_MAX_RPM_DURATION,LAST_SPIN_ACCELERATION,LAST_SPIN_MAX_REV_DURATION,LAST_SPIN_MAX_REV,LAST_SPIN_100RPM_TRY_COUNT,AWASH_ID,FRICTION,INERTIA,CALIBRATED_FRICTION,CALIBRATED_INERTIA,AFTER_HEAT_VALVE_OPEN_COUNT,CYCLE_COUNT_AFTER_LAST_MOTOR_CALIBRATION,BASE_PROGRAM,DRUM_CAPACITY,COLD_WASH_W_LEVEL_VALUE_F2,COLD_WASH_W_LEVEL_VALUE_F3,MAIN_MACHINE_FEATURES,AVAILABLE_SPIN_LEVELS,PROGRAM_PLANNED_TIME,RINSE_WATER_LEVEL_DEFAULT_VALUE,WASHING_STEP_TIME_DATA_FACTORY_SETTINGS,HEATING_TIME_DATA_FACTORY_SETTINGS,WASHING_OPEN_TIME_DATA_FACTORY_SETTINGS,WASHING_CLOSE_TIME_DATA_FACTORY_SETTINGS,connState
['NORMAL'],49,1100,1150,19,0,0,0,27,0,1200,1150,MEDIUM,0,[],[],[],[],2930,0,UNMEASURED,0,0,OFF,13,OK,OK,OK,OK,OK,"['powerCut', 'runAfterCancel']",0,30,50,OK,[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,75,115,0,7,0,0,0,0,0,17,SIKMA_POMPA,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",1,0,0,0,0,0,offline
['NORMAL'],50,1030,1150,4,40,39,23,22,21,1200,1150,MEDIUM,0,[],[],[],['LIQ_DETERGENT'],4637,0,UNMEASURED,0,1,OFF,138,OK,OK,OK,OK,OK,[],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],9,0,0,2,41,39,1,49,115,52,1,33,20,0,49,115,45,0,16,16,0,0,5,0,1,22,17,0,0,8,0,73,60,115,3,7,49925,11797,23046,33300,0,18,AUTOPROGRAM,10_KG_(X54+1),46083,60672,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",113,65535,0,10,0,0,offline
['NORMAL'],51,1070,1130,19,0,0,0,24,0,1200,1150,MEDIUM,0,[],[],[],[],1349,0,UNMEASURED,0,0,OFF,14,OK,OK,OK,OK,OK,[],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,115,0,7,49925,11797,23046,33300,0,19,SIKMA_POMPA,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",15,0,0,0,0,0,offline
['NORMAL'],52,1060,1150,4,40,37,13,22,18,1200,1150,LITTLE,0,[],[],[],['LIQ_DETERGENT'],2570,0,UNMEASURED,1,1,OFF,123,OK,OK,OK,OK,OK,[],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],25,0,0,1,41,36,1,46,100,44,1,32,23,1,51,100,40,0,17,18,0,0,5,0,1,25,20,2,42,100,44,66,38,115,0,7,40197,44305,13318,17,0,20,AUTOPROGRAM,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",113,65535,15,25,22,4,offline
['NORMAL'],53,1080,1170,4,40,39,13,24,22,800,800,LITTLE,0,[],[],[],['LIQ_DETERGENT'],4135,0,UNMEASURED,0,0,OFF,124,OK,OK,OK,OK,OK,[],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],4,0,0,1,41,38,4,65,80,51,1,32,21,3,31,80,18,0,18,18,0,0,5,0,0,0,0,0,0,0,0,58,74,80,1,7,44037,49427,16902,5139,0,21,AUTOPROGRAM,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",113,65535,0,5,0,0,online
['NORMAL'],54,1120,1160,20,0,0,0,21,0,1200,1150,MEDIUM,0,[],[],[],[],2169,0,UNMEASURED,0,0,OFF,25,OK,OK,OK,OK,OK,['doorNotOpenedAfterPrevCycle'],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,65,115,3,7,44037,49427,16902,5139,0,22,RINSE,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",21,0,0,0,0,0,online
['ERROR'],56,1100,1160,16,30,0,4,23,17,600,30,MEDIUM,0,[],[],['ADD_RINSE'],['LIQ_DETERGENT'],0,0,UNMEASURED,1,1,OFF,11,OK,OK,OK,OK,OK,[],0,30,50,MEDIUM_RISK,[],[],[],[],[],[],[],['motorSpeedPrecaution'],[],[],0,0,0,1,26,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44037,49427,16902,5139,0,24,WOOLEAN,10_KG_(X54+1),32260,23555,"['turbidity', 'flowmeter', 'autodose', 'aquatech']",['600'],67,0,0,15,0,0,offline
"['NORMAL', 'ERROR']",56,1100,1360,16,30,27,5,23,17,600,600,MEDIUM,0,[],[],['ADD_RINSE'],['LIQ_DETERGENT'],670,0,UNMEASURED,1,1,OFF,81,OK,OK,OK,OK,OK,[],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],12,0,0,1,30,27,0,0,4,0,1,25,20,0,0,3,0,1,20,18,4,33,60,27,1,20,17,0,0,4,0,41,100,60,1,7,44037,49427,16902,5139,0,24,WOOLEAN,10_KG_(X54+1),32260,23555,"['turbidity', 'flowmeter', 'autodose', 'aquatech']",['600'],67,45060,0,15,0,0,offline
['NORMAL'],57,1130,1160,19,0,0,0,24,0,1200,1150,MEDIUM,0,[],[],[],[],5361,0,UNMEASURED,0,0,OFF,14,OK,OK,OK,OK,OK,[],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,60,115,0,7,44037,49427,16902,5139,0,25,SIKMA_POMPA,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",15,0,0,0,0,0,offline
['NORMAL'],58,1100,1170,4,40,38,11,23,21,800,800,LITTLE,0,[],[],[],['LIQ_DETERGENT'],3871,0,UNMEASURED,1,2,OFF,135,OK,OK,OK,OK,OK,[],0,30,50,OK,[],[],[],[],[],[],[],[],[],[],27,0,0,1,41,37,2,60,80,50,1,33,25,1,55,80,37,0,19,19,0,0,5,0,2,26,20,1,56,80,80,80,56,80,2,7,58885,53009,32006,8977,0,26,AUTOPROGRAM,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",113,65535,15,25,22,4,offline
